年次,人口(総数),人口(前回増減数),人口(前回増減率(％)),人口(男),人口(女),人口性比（％）,面積（k㎡）,人口密度(人/k㎡)
1920,182771,…,…,95247,87524,108.8238655,…,…
1925,210711,27940,15.28688906,109986,100725,109.194341,…,…
1930,245400,34689,16.46283298,128558,116842,110.0272162,…,…
1935,260658,15258,6.217603912,135595,125063,108.4213556,…,…
1940,252200,-8458,-3.244864919,127438,124762,102.1448839,…,…
1945,269723,17523,6.948057098,133331,136392,97.75573347,…,…
1950,286075,16352,6.062515989,139820,146255,95.60015042,677.54,422.225994
1955,306459,20384,7.125404177,151287,155172,97.49632666,680.22,450.5292405
1960,305472,-987,-0.322065921,147635,157837,93.5363698,680.22,449.0782394
1965,314135,8663,2.835939137,150372,163763,91.82293925,680.22,461.8138249
1970,322497,8362,2.661912872,153738,168759,91.09914138,680.79,473.7099546
1975,334416,11919,3.695848333,158937,175479,90.57323098,680.97,491.0877131
1980,345165,10749,3.214260083,163875,181290,90.39384412,681.06,506.8055678
1985,342540,-2625,-0.760505845,160865,181675,88.54547957,681.15,502.8848271
1990,328493,-14047,-4.100834939,152198,176295,86.33143311,677.28,485.0180132
1995,318308,-10185,-3.10052269,146683,171625,85.46715222,677.42,469.8827906
2000,305311,-12997,-4.083152167,140151,165160,84.85771373,677.48,450.656846
2005,294264,-11047,-3.618277756,134868,159396,84.61190996,677.82,434.1329557
2010,279127,-15137,-5.144020335,127046,152081,83.53837758,677.93,411.7342498
2015,265979,-13148,-4.710400642,120376,145603,82.67412073,677.86,392.4
